"subject" "y" "tBodyAccMag-mean()" "tBodyAcc-energy()-X" "tBodyAcc-entropy()-X" "fBodyGyro-mean()-Z" "fBodyGyro-energy()-Z"
"69" 1 6 -0.67636425 -0.97908906 0.55465971 -0.90206889 -0.99693484
"70" 1 6 -0.63496006 -0.96924351 0.50350254 -0.6394989 -0.92825084
"71" 1 6 -0.062945893 -0.83643755 -0.46569932 -0.53699297 -0.90684705
"72" 1 6 0.29483896 -0.85544932 -0.39308631 -0.64274198 -0.96122857
"73" 1 6 -0.33101576 -0.99636685 -0.0067055647 -0.89368601 -0.99209298
"74" 1 6 -0.84935162 -0.99964877 -0.27266036 -0.97315134 -0.99922089
"75" 1 6 -0.95078066 -0.9998209 -0.5514208 -0.97448174 -0.99939878
"76" 1 6 -0.98981335 -0.99995907 -0.47755006 -0.98426332 -0.99974277
"77" 1 6 -0.99056014 -0.99995549 -0.50049571 -0.99172103 -0.99992014
"78" 1 6 -0.9923007 -0.99994315 -0.65638313 -0.99483133 -0.99996596
"79" 1 1 -0.22455962 -0.77306493 0.42370588 -0.30755844 -0.85057325
"80" 1 1 -0.12650269 -0.70158883 0.34531736 -0.31117804 -0.81940289
"81" 1 1 -0.16010001 -0.73590096 0.30849385 -0.18579836 -0.78483258
"82" 1 1 -0.07351308 -0.7013638 0.44783107 -0.18046872 -0.73591661
"83" 1 1 -0.04949205 -0.69965581 0.39709866 -0.2579581 -0.75862
"84" 1 1 -0.077394435 -0.69798022 0.3561237 -0.33384574 -0.80112005
"85" 1 1 -0.09549311 -0.70494588 0.37012868 -0.27622589 -0.76841323
"86" 1 1 -0.11344328 -0.71491685 0.33010493 -0.22430549 -0.75180429
"87" 1 1 -0.1696296 -0.7891772 0.36336909 -0.35621853 -0.83656295
"88" 1 1 -0.10747234 -0.72708513 0.33650358 -0.28535159 -0.8047021
"89" 1 1 -0.12980293 -0.72438444 0.28197745 -0.28740226 -0.78632509
"90" 1 1 -0.10480876 -0.70902266 0.42993865 -0.25003562 -0.764073
"91" 1 1 -0.063225767 -0.67955388 0.43127522 -0.275699 -0.75937651
"92" 1 1 -0.017610633 -0.6531175 0.39928197 -0.19121952 -0.770698
"93" 1 1 -0.035592505 -0.68429125 0.51748788 -0.18758513 -0.74080059
"94" 1 1 -0.062178356 -0.69436382 0.35093273 -0.16361966 -0.72618091
"95" 1 1 -0.072821245 -0.68236874 0.40055353 -0.24237744 -0.75846756
"96" 1 1 -0.089840429 -0.71596031 0.47156888 -0.17078802 -0.74768659
"97" 1 1 -0.11313628 -0.75483872 0.42978503 -0.12934161 -0.73061942
"98" 1 1 -0.20671579 -0.79589691 0.36095396 -0.15892536 -0.7529308
"99" 1 1 -0.046277939 -0.66541095 0.40966414 -0.17687207 -0.72857628
"100" 1 1 -0.0067882519 -0.60376905 0.3981384 -0.16882706 -0.76029652
"101" 1 1 -0.044258164 -0.62849221 0.49105323 -0.29740815 -0.79505674
"102" 1 1 -0.041734145 -0.65534193 0.3853411 -0.16957476 -0.75415963
"103" 1 1 -0.083892745 -0.70769656 0.35455531 -0.27879358 -0.75388641
"104" 1 1 -0.070705961 -0.7172401 0.42993865 -0.34783736 -0.78612593
"105" 1 1 -0.069540692 -0.70224182 0.24774075 -0.31254769 -0.79852889
"106" 1 1 -0.086942954 -0.67717731 0.31838948 -0.33745856 -0.81002262
"107" 1 1 -0.064423256 -0.67755316 0.38932462 -0.23528596 -0.78034237
"108" 1 1 -0.046465246 -0.71409277 0.29718987 -0.22693502 -0.76385559
"109" 1 1 -0.066594317 -0.73515269 0.45413074 -0.276371 -0.76799135
"110" 1 1 -0.10472185 -0.74884878 0.46692804 -0.21636396 -0.75883331
"111" 1 1 -0.14610056 -0.76215283 0.30849385 -0.24290215 -0.75738167
"112" 1 1 -0.028582068 -0.66122344 0.38775623 -0.28594216 -0.75893779
"113" 1 1 -0.11131172 -0.69575036 0.20934885 -0.32228055 -0.77194398
"114" 1 1 -0.12637248 -0.71932491 0.34531736 -0.33760965 -0.73393941
"115" 1 1 -0.10568614 -0.71382057 0.42112487 -0.33921878 -0.76955975
"116" 1 1 -0.083591 -0.69400481 0.22214615 -0.28268824 -0.78576925
"117" 1 1 -0.067429345 -0.6907541 0.36735261 -0.20879994 -0.75172789
"118" 1 1 -0.12064647 -0.72563814 0.44773209 -0.27276952 -0.7705211
"119" 1 1 -0.23741525 -0.81383576 0.20693372 -0.30681151 -0.78704652
"120" 1 1 -0.25039364 -0.80042159 0.23567139 -0.29860773 -0.78927858
"121" 1 1 -0.24337187 -0.79942644 0.48706303 -0.21181299 -0.79347288
"122" 1 1 -0.24631157 -0.84112289 0.52843033 -0.185825 -0.73416487
"123" 1 1 -0.19329251 -0.79795699 0.37790272 -0.096659776 -0.68953956
"124" 1 1 -0.1648745 -0.76712423 0.31440596 -0.17239065 -0.75001126
"125" 1 1 -0.20649227 -0.80240422 0.30358852 -0.25345098 -0.77534898
"126" 1 3 -0.17044085 -0.65469914 0.35057179 -0.19086405 -0.77268744
"127" 1 3 -0.048825749 -0.538294 0.23252832 -0.27034612 -0.75825117
"128" 1 3 -0.088540677 -0.58913487 0.14814708 -0.13424218 -0.72137114
"129" 1 3 -0.098690394 -0.62336476 0.041264651 -0.13150633 -0.70884831
"130" 1 3 0.028422451 -0.42761104 0.064051608 -0.1379991 -0.65332776
"131" 1 3 0.080265708 -0.37191496 0.022408159 0.078356584 -0.54890454
"132" 1 3 -0.025681958 -0.52064323 0.098459982 0.040856096 -0.59063223
"133" 1 3 -0.07035973 -0.54774589 0.12310791 -0.10869669 -0.65987592
"134" 1 3 -0.077787454 -0.56027143 0.098013803 -0.16074287 -0.70799807
"135" 1 3 0.13335858 -0.36899635 0.17313063 -0.035426948 -0.5768223
"136" 1 3 0.12220578 -0.36995484 0.3336019 -0.0090591332 -0.59185543
"137" 1 3 0.14755443 -0.39511807 0.13590521 0.090170615 -0.55293577
"138" 1 3 0.10014998 -0.44255319 0.13590521 0.3040526 -0.36233967
"139" 1 3 0.12090611 -0.36866187 0.40695218 0.26101195 -0.37168128
"140" 1 3 0.073107976 -0.43322271 0.29623031 -0.058966568 -0.62750981
"141" 1 3 0.0891215 -0.34225084 0.3336019 -0.13092654 -0.6459813
"142" 1 3 0.17216127 -0.21792772 0.37091195 -0.097836502 -0.56897054
"143" 1 3 0.060417914 -0.41288872 0.59784296 -0.064656901 -0.64287291
"144" 1 3 0.059491854 -0.41923425 0.32720325 -0.055381283 -0.649371
"145" 1 3 -0.018090242 -0.59629008 0.14174843 0.19671606 -0.5428622
"146" 1 3 0.071970206 -0.47236972 0.36209817 0.026734935 -0.57390565
"147" 1 3 0.040168399 -0.39088137 0.29079123 -0.0065478725 -0.62920511
"148" 1 3 -0.059902458 -0.53944865 0.26036637 -0.146493 -0.66336787
"149" 1 3 -0.017039858 -0.51942896 0.34290223 -0.15730916 -0.72327424
"150" 1 3 -0.015987782 -0.47868836 0.3591965 -0.14624419 -0.67800423
"151" 1 2 -0.14452122 -0.79686719 0.43650318 -0.52365016 -0.90012042
"152" 1 2 -0.18075029 -0.79324366 0.50699799 -0.49543674 -0.90246816
"153" 1 2 -0.14245791 -0.7954543 0.55860432 -0.4213541 -0.82969011
"154" 1 2 -0.11472258 -0.79899997 0.51164951 -0.2925131 -0.79615979
"155" 1 2 -0.11354341 -0.7772771 0.43744891 -0.39825521 -0.85325541
"156" 1 2 -0.1609031 -0.81940543 0.24050165 -0.42291132 -0.85358606
"157" 1 2 -0.15544653 -0.82190564 0.33252006 -0.5055717 -0.88371447
"158" 1 2 -0.13659556 -0.78198031 0.56101945 -0.50807548 -0.90799041
"159" 1 2 -0.088105584 -0.70198018 0.30451034 -0.55557262 -0.92535694
"160" 1 2 -0.15356809 -0.76486209 0.55063729 -0.5506291 -0.91964106
"161" 1 2 -0.1271837 -0.79195126 0.64711355 -0.27667662 -0.75940591
"162" 1 2 -0.13258213 -0.79373103 0.65139263 -0.2989004 -0.78198271
"163" 1 2 -0.2109106 -0.83418891 0.60147627 -0.50105685 -0.8963104
"164" 1 2 -0.16248997 -0.83101311 0.55860432 -0.47126284 -0.88381727
"165" 1 2 -0.19378591 -0.81652349 0.45510757 -0.54753259 -0.92154668
"166" 1 2 -0.2642458 -0.83834615 0.46985498 -0.54362496 -0.91727516
"167" 1 2 -0.23580451 -0.8515603 0.49220271 -0.62337005 -0.94210708
"168" 1 2 -0.1196104 -0.78748627 0.53876475 -0.54361783 -0.9248451
"169" 1 2 -0.14393494 -0.78879618 0.51961655 -0.53905852 -0.91765177
"170" 1 2 -0.11590404 -0.81601248 0.4758408 -0.37144921 -0.82868286
"171" 1 2 -0.11324947 -0.84162731 0.50625897 -0.36486596 -0.82719173
"172" 1 2 -0.17019526 -0.84530026 0.46943547 -0.48537717 -0.89651038
"173" 1 2 -0.19962581 -0.8582898 0.33777449 -0.49840218 -0.89198824
"174" 1 2 -0.1506328 -0.8114579 0.28741653 -0.48210413 -0.89550132
"175" 1 2 -0.18524783 -0.79433417 0.2722041 -0.51121467 -0.9068664
"176" 1 2 -0.19233501 -0.78283003 0.24600068 -0.4777879 -0.91495602
"177" 1 5 -0.92460685 -0.99948694 -0.45862627 -0.9156851 -0.99487046
"178" 1 5 -0.96107654 -0.99993261 -0.39040927 -0.96071203 -0.99883026
"179" 1 5 -0.97955082 -0.99995151 -0.46872352 -0.97508096 -0.99953751
"180" 1 5 -0.97696384 -0.99994649 -0.44692643 -0.93474834 -0.99772732
"181" 1 5 -0.96276865 -0.99990629 -0.55766929 -0.93584991 -0.99735941
"182" 1 5 -0.97114685 -0.99991433 -0.79640138 -0.9666881 -0.99937231
"183" 1 5 -0.98707568 -0.99995815 -0.59015884 -0.99208739 -0.9999487
"184" 1 5 -0.99407761 -0.9999823 -0.63663583 -0.99564618 -0.99997546
"185" 1 5 -0.9926817 -0.99997236 -0.6897777 -0.98428885 -0.99987421
"186" 1 5 -0.99028866 -0.99997119 -0.62656839 -0.98495364 -0.99987277
"187" 1 5 -0.99416937 -0.99999113 -0.67607314 -0.99537128 -0.99997878
"188" 1 5 -0.99491692 -0.99999181 -0.70824068 -0.99534967 -0.99996436
"189" 1 5 -0.99161808 -0.99997933 -0.74394659 -0.99253557 -0.99994376
"190" 1 5 -0.98993607 -0.99997121 -0.70753856 -0.99198302 -0.99993942
"191" 1 5 -0.88409577 -0.99900611 0.1476603 -0.90866659 -0.99576287
"192" 1 5 -0.97351585 -0.9999541 -0.6824933 -0.95924674 -0.99844888
"193" 1 5 -0.98803599 -0.9999897 -0.86187516 -0.97316263 -0.99942819
"194" 1 5 -0.99461972 -0.99998698 -0.72562105 -0.98953403 -0.99991338
"195" 1 5 -0.98900897 -0.99998168 -0.73378659 -0.99410226 -0.99996293
"196" 1 5 -0.99036319 -0.9999911 -0.81618392 -0.99332052 -0.99994534
"197" 1 5 -0.99552431 -0.9999899 -0.71361881 -0.99409187 -0.99996353
"198" 1 5 -0.99902593 -0.99998862 -0.6965457 -0.99458912 -0.99995759
"199" 1 5 -0.99950128 -0.99998905 -0.73629771 -0.99611437 -0.99997933
"200" 1 5 -0.99577375 -0.99998473 -0.67830244 -0.99377708 -0.99995838
"201" 1 5 -0.99666705 -0.99998888 -0.65340655 -0.99245267 -0.99994569
"202" 1 5 -0.99767632 -0.99999349 -0.67830244 -0.99313019 -0.99995736
"203" 1 4 -0.8395095 -0.99850904 -0.27464348 -0.96926676 -0.99901016
"204" 1 4 -0.95555884 -0.99982029 -0.22903857 -0.9298369 -0.99632985
"205" 1 4 -0.9898885 -0.9999845 -0.66590075 -0.95138647 -0.998391
"206" 1 4 -0.99587748 -0.99998733 -0.66379017 -0.97761508 -0.99959212
"207" 1 4 -0.99663697 -0.99998598 -0.65254781 -0.98989268 -0.99988598
"208" 1 4 -0.99731978 -0.99998892 -0.74394659 -0.99633256 -0.99997441
"209" 1 4 -0.9971095 -0.99998593 -0.68386757 -0.99630325 -0.9999742
"210" 1 4 -0.99824894 -0.99998433 -0.66271367 -0.99486919 -0.99997349
"211" 1 4 -0.99916669 -0.99998546 -0.65638313 -0.9935277 -0.99995773
"212" 1 4 -0.99779387 -0.99997763 -0.6153181 -0.99494895 -0.99996966
"213" 1 4 -0.99723393 -0.99997922 -0.68225522 -0.99486714 -0.999965
"214" 1 6 -0.91435757 -0.9964185 0.48629153 -0.83625993 -0.9811226
"215" 1 6 -0.97177708 -0.99896718 0.10181581 -0.87958691 -0.99118799
"216" 1 6 -0.99803183 -0.99996733 -0.61650131 -0.95154285 -0.99819079
"217" 1 6 -0.99702358 -0.99995782 -0.514331 -0.98508248 -0.99975077
"218" 1 6 -0.99655566 -0.99996664 -0.60173922 -0.99384177 -0.99993385
"219" 1 6 -0.99781183 -0.99997373 -0.58165799 -0.99460243 -0.99997903
"220" 1 6 -0.99762628 -0.99996492 -0.56146514 -0.99175257 -0.99990087
"221" 1 6 -0.99708723 -0.9999783 -0.70279324 -0.99525433 -0.99997482
"222" 1 6 -0.99737407 -0.99997236 -0.62181662 -0.99397212 -0.9999594
"223" 1 6 -0.99798029 -0.99996556 -0.6443871 -0.99456803 -0.99996145
"224" 1 6 -0.99806665 -0.99996298 -0.55154787 -0.99672164 -0.9999775
"225" 1 6 -0.99790544 -0.9999647 -0.52278186 -0.99679319 -0.9999779
"226" 1 4 -0.84176045 -0.99832861 -0.058797843 -0.92126224 -0.99070503
"227" 1 4 -0.96131281 -0.99992424 -0.86187516 -0.85794079 -0.98881108
"228" 1 4 -0.97865782 -0.99997141 -0.83802192 -0.90746381 -0.99419894
"229" 1 4 -0.98813158 -0.9999823 -0.78015875 -0.95353219 -0.99847325
"230" 1 4 -0.99434832 -0.99998521 -0.69797779 -0.98492777 -0.99973932
"231" 1 4 -0.99223301 -0.9999745 -0.70824068 -0.98984207 -0.99989781
"232" 1 4 -0.99244845 -0.99997468 -0.70824068 -0.99259883 -0.999907
"233" 1 4 -0.99655354 -0.99998694 -0.70824068 -0.98859973 -0.99981018
"234" 1 4 -0.99553672 -0.99998649 -0.79605084 -0.99351259 -0.99994119
"235" 1 4 -0.99459017 -0.99998258 -0.71013556 -0.99236652 -0.99991288
"236" 1 4 -0.99275076 -0.9999832 -0.70279324 -0.99132428 -0.99991146
"237" 1 4 -0.98908857 -0.99995308 -0.66941171 -0.96535732 -0.99955895
"238" 1 6 -0.027508362 -0.92518527 -0.12782 -0.40424581 -0.82992359
"239" 1 6 -0.47948386 -0.93862048 -0.38385746 -0.69723778 -0.96522798
"240" 1 6 -0.90848825 -0.99883072 -0.1919501 -0.91457516 -0.99673584
"241" 1 6 -0.83461265 -0.99899003 -0.081805627 -0.92404192 -0.99699342
"242" 1 6 -0.86715221 -0.9993007 0.021468221 -0.94710548 -0.99836504
"243" 1 6 -0.96875933 -0.99965871 -0.06394844 -0.971371 -0.99962207
"244" 1 6 -0.97634025 -0.99982776 -0.24358526 -0.97861155 -0.99974033
"245" 1 6 -0.97497252 -0.99992143 -0.51492547 -0.98675927 -0.99988543
"246" 1 6 -0.90892854 -0.99909223 -0.73295069 -0.95383515 -0.9979286
"247" 1 6 -0.82300481 -0.99698649 -0.78830925 -0.95232809 -0.99730205
"248" 1 6 -0.8716271 -0.99779513 -0.6236171 -0.96229156 -0.99949714
"249" 1 1 -0.26994724 -0.8440567 0.31090898 -0.42426181 -0.86738351
"250" 1 1 -0.23588079 -0.81509239 0.29968008 -0.40344063 -0.86160448
"251" 1 1 -0.22840374 -0.78808681 0.40849345 -0.33433573 -0.82423709
"252" 1 1 -0.18145913 -0.75924948 0.50227545 -0.28180078 -0.80455192
"253" 1 1 -0.19231603 -0.78025416 0.39686684 -0.30252837 -0.8149935
"254" 1 1 -0.20893977 -0.80373907 0.34531736 -0.33518936 -0.8071575
"255" 1 1 -0.18129907 -0.7875453 0.31247737 -0.26651249 -0.78555127
"256" 1 1 -0.24279297 -0.82032172 0.38805307 -0.28072026 -0.79107567
"257" 1 1 -0.17237321 -0.75727922 0.43010453 -0.2469627 -0.81536945
"258" 1 1 -0.11469224 -0.72899287 0.45269244 -0.21372488 -0.77822947
"259" 1 1 -0.14350151 -0.760587 0.26182194 -0.29422934 -0.79101316
"260" 1 1 -0.20047978 -0.77776988 0.20693372 -0.30475662 -0.82505621
"261" 1 1 -0.17790638 -0.76399646 0.27860275 -0.31012331 -0.82408455
"262" 1 1 -0.13796608 -0.75004264 0.35455531 -0.32154603 -0.83081854
"263" 1 1 -0.15677155 -0.76990283 0.3645133 -0.36568619 -0.83556595
"264" 1 1 -0.15091057 -0.76267685 0.31440596 -0.29290754 -0.81480151
"265" 1 1 -0.12347428 -0.74010364 0.33650358 -0.2515676 -0.79223728
"266" 1 1 -0.18054297 -0.7748186 0.32478812 -0.19832175 -0.75785603
"267" 1 1 -0.19344933 -0.77845342 0.2228741 -0.17747845 -0.74434801
"268" 1 1 -0.096635703 -0.71754673 0.35974651 -0.10251307 -0.70400404
"269" 1 1 -0.082421379 -0.70481388 0.50699799 -0.068130754 -0.69694166
"270" 1 1 -0.15183359 -0.74856378 0.26918015 -0.20971139 -0.75385257
"271" 1 1 -0.17454029 -0.77702591 0.39553028 -0.22304511 -0.77923268
"272" 1 1 -0.11985554 -0.7407968 0.5086741 -0.18289289 -0.77975106
"273" 1 1 -0.10688291 -0.73126103 0.4276894 -0.18066187 -0.76859429
"274" 1 1 -0.14328018 -0.73339775 0.28741653 -0.22660801 -0.79976189
"275" 1 1 -0.15765086 -0.7374106 0.3276898 -0.24475036 -0.79218676
"276" 1 1 -0.18173069 -0.77578619 0.26519663 -0.23672703 -0.79886269
"277" 1 1 -0.19079722 -0.79282231 0.27063571 -0.323653 -0.80945377
"278" 1 1 -0.15146531 -0.75998717 0.41730723 -0.27920785 -0.7992327
"279" 1 1 -0.17328382 -0.75290742 0.49829193 -0.29719981 -0.78886495
"280" 1 1 -0.22358004 -0.78426452 0.41606279 -0.30992972 -0.81076219
"281" 1 1 -0.19365531 -0.77076853 0.32080461 -0.3332405 -0.82324218
"282" 1 1 -0.22461429 -0.80457139 0.30160866 -0.34040637 -0.82541553
"283" 1 1 -0.14241408 -0.77389767 0.225958 -0.36780615 -0.83682278
"284" 1 1 -0.12359074 -0.74538708 0.24358555 -0.33024601 -0.81586757
"285" 1 1 -0.17396322 -0.79105441 0.26519663 -0.32468939 -0.81768219
"286" 1 1 -0.23137492 -0.81001893 0.25088382 -0.30651477 -0.80236063
"287" 1 1 -0.21440662 -0.77175939 0.17644681 -0.24868054 -0.78492228
"288" 1 1 -0.17975024 -0.74196749 0.30052682 -0.27270572 -0.79239934
"289" 1 1 -0.094590586 -0.70277913 0.45664485 -0.21724371 -0.75961453
"290" 1 1 -0.069870597 -0.67534594 0.39686684 -0.19843654 -0.73468963
"291" 1 1 -0.084849247 -0.67628337 0.28343301 -0.15772724 -0.78750532
"292" 1 1 -0.09917383 -0.70786376 0.21647545 -0.26451336 -0.79579231
"293" 1 1 -0.06614758 -0.66643319 0.41231109 -0.13469156 -0.76248311
"294" 1 1 -0.085035527 -0.69227037 0.47828703 -0.19723616 -0.76371345
"295" 1 1 -0.20428947 -0.77342662 0.35972384 -0.24711935 -0.7966766
"296" 1 1 -0.21992152 -0.77011975 0.35459675 -0.24405994 -0.78590141
"297" 1 3 -0.11052417 -0.5516677 0.22612967 -0.22730606 -0.68577163
"298" 1 3 -0.04655543 -0.50981201 0.098013803 -0.090695275 -0.58116112
"299" 1 3 -0.078120796 -0.58581057 0.080386245 -0.11713272 -0.62669746
"300" 1 3 0.094203798 -0.45181648 0.33408845 0.038502651 -0.51980737
"301" 1 3 -0.016062869 -0.5147355 0.23892697 0.016346613 -0.57266128
"302" 1 3 -0.044867355 -0.4990368 0.13534978 -0.067310751 -0.62975817
"303" 1 3 0.07520821 -0.38628037 0.12950656 0.028363776 -0.58745932
"304" 1 2 -0.13451579 -0.78261699 0.44142574 -0.49385624 -0.91612152
"305" 1 2 -0.14753214 -0.79568771 0.37307246 -0.50548271 -0.90315685
"306" 1 2 -0.10517233 -0.77643396 0.41207927 -0.3254291 -0.77606099
"307" 1 2 -0.099399058 -0.76613409 0.42752352 -0.34948177 -0.76562118
"308" 1 2 -0.072464775 -0.73319707 0.49105323 -0.41022245 -0.85689935
"309" 1 2 -0.05688087 -0.76022693 0.35521308 -0.41775811 -0.85489108
"310" 1 2 -0.097905117 -0.80015259 0.41583783 -0.42095372 -0.88276228
"311" 1 2 -0.15122527 -0.80346509 0.39311515 -0.44897453 -0.90035854
"312" 1 2 -0.15408232 -0.78823512 0.25155259 -0.46570154 -0.90298457
"313" 1 2 -0.027133606 -0.70216524 0.39686684 -0.60404833 -0.92814698
"314" 1 2 -0.093392278 -0.74715467 0.49818421 -0.56941325 -0.9261751
"315" 1 2 -0.15071313 -0.81757317 0.42370588 -0.36660685 -0.81520628
"316" 1 2 -0.033007974 -0.74200969 0.50070706 -0.33836494 -0.80324758
"317" 1 2 -0.053477935 -0.73930399 0.46062837 -0.38250228 -0.84676363
"318" 1 2 -0.099690757 -0.79122776 0.29171304 -0.37686939 -0.81736712
"319" 1 2 -0.055910268 -0.74793103 0.40591244 -0.44220608 -0.89197067
"320" 1 2 -0.060315478 -0.73095107 0.50458286 -0.47723909 -0.91174953
"321" 1 2 -0.1223683 -0.76819588 0.39070002 -0.48766421 -0.90957153
"322" 1 2 -0.11154994 -0.76657586 0.29537705 -0.55605454 -0.90392141
"323" 1 2 -0.15812506 -0.80174792 0.44930048 -0.54287061 -0.91442664
"324" 1 2 -0.085252323 -0.78606661 0.44133344 -0.25495165 -0.73988964
"325" 1 2 -0.068733866 -0.77017994 0.5086741 -0.26861423 -0.72437322
"326" 1 2 -0.12619969 -0.77675115 0.47668086 -0.50852322 -0.91591867
"327" 1 2 -0.13873893 -0.82388188 0.27010196 -0.49509057 -0.89497732
